id,audit_scope,kind,question,proposed_gold_doc_ids,human_gold_doc_ids,is_answerable,reviewer,review_notes,assistant_gold_doc_ids,assistant_is_answerable,assistant_check,assistant_evidence,assistant_notes,human_confirmed
v2_181,budget,multi_constraint,预算不超过 14.74，想买 StarTech 的数码，关键词 StarTech.com 25ft,product:P01646,,,,,product:P01646,true,supported,product:P01646: title=StarTech.com 25ft CAT6 Ethernet Cable - Purple CAT 6 Gigabit Ethernet Wire -650MHz 100W PoE++ RJ45 UTP Molded Category 6 Network/Patch Cord w/Strain Relief/Fluke Tested UL/TIA Certified (C6PATCH25PL); price=13.74; brand=StarTech; category=Electronics Computers & Accessories Computer Accessories & Peripherals Cables & Accessories Cables & Interconnects Ethernet Cables Cat 6 Cables; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_182,budget,multi_constraint,预算不超过 4.99，想买 Epic Designs 的厨房，关键词 Epic Designs,product:P04703,,,,,product:P04703,true,supported,product:P04703: title=Epic Designs Cups drinkware tumbler sticker - Paw prints dog animal lover pets - cool sticker decal; price=3.99; brand=Epic Designs; category=Home & Kitchen Kitchen & Dining Storage & Organization Thermoses Insulated Beverage Containers Cups & Mugs; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_183,budget,multi_constraint,预算不超过 5.98，想买 Assurant 的数码，关键词 Assurant 2-Year,product:P01992,,,,,product:P01992,true,supported,product:P01992: title=Assurant 2-Year Camera Protection Plan with Accidental Damage ($50-$74.99); price=4.98; brand=Assurant; category=Electronics Electronics Warranties; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_184,budget,multi_constraint,预算不超过 10.95，想买 SignJoker 的厨房，关键词 SignJoker Dragon,product:P03923,,,,,product:P03923,true,supported,product:P03923: title=SignJoker] Dragon Crossing Sign Novelty Gift Mythology Wall Plaque Decoration; price=9.95; brand=SignJoker; category=Home & Kitchen Home Décor Products Home Décor Accents Decorative Accessories Decorative Signs & Plaques; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_185,budget,multi_constraint,预算不超过 31.45，想买 Ambesonne 的厨房，关键词 Ambesonne Longhorn,product:P02682,,,,,product:P02682,true,supported,"product:P02682: title=Ambesonne Longhorn Curtains, Repetitive Pattern with Tribal Ornamental Bull Skull Grunge Background, Window Treatments 2 Panel Set for Living Room Bedroom, Pair of - 28"" x 84"", Coconut Multicolor; price=29.95; brand=Ambesonne; category=Home & Kitchen Home Décor Products Window Treatments Curtains & Drapes Panels; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_186,budget,multi_constraint,预算不超过 35.69，想买 HOMEIDEAS 的厨房，关键词 HOMEIDEAS Pieces,product:P03264,,,,,product:P03264,true,supported,"product:P03264: title=HOMEIDEAS 3 Pieces Beige Bathroom Rugs Set, Ultra Soft Non Slip Bath Rug and Absorbent Chenille Bath Mat, Includes U-Shaped Contour Rug, Bath Mat and Toilet Lid Cover, Perfect for Bathroom, Tub; price=33.99; brand=HOMEIDEAS; category=Home & Kitchen Bath Bath Rugs; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_187,budget,multi_constraint,预算不超过 45.1，想买 Seagate 的数码，关键词 Seagate ST3146855SS,product:P01082,,,,,product:P01082,true,supported,product:P01082: title=Seagate ST3146855SS 146Gb 15K Sas; price=42.95; brand=Seagate; category=Electronics Computers & Accessories Computer Components Internal Components; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_188,budget,multi_constraint,预算不超过 27.29，想买 VANILLACHOCOLATE 的厨房，关键词 VANILLACHOCOLATE Heart,product:P03953,,,,,product:P03953,true,supported,"product:P03953: title=VANILLACHOCOLATE Heart Shaped Soft Faux Sheepskin Fur Area Rugs for Home Sofa Floor Mat Plush, 3ft x 2.2ft (Peach Pink); price=25.99; brand=VANILLACHOCOLATE; category=Home & Kitchen Home Décor Products Rugs, Pads & Protectors Area Rugs; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_189,budget,multi_constraint,预算不超过 23.09，想买 SMYRNA TURKISH COTTON 的厨房，关键词 Smyrna Original,product:P03937,,,,,product:P03937,true,supported,"product:P03937: title=Smyrna Original Turkish Beach Towel | 100% Genuine Cotton, Prewashed, 37 x 71 Inches | Peshtemal and Turkish Bath Towel for SPA, Beach, Pool, Gym and Bathroom (Sea Green); price=21.99; brand=SMYRNA TURKISH COTTON; category=Home & Kitchen Bath Towels Beach Towels; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_190,budget,multi_constraint,预算不超过 16.99，想买 fhong 的数码，关键词 Wireless Mouse,product:P01431,,,,,product:P01431,true,supported,"product:P01431: title=2.4 GHz Wireless Mouse, Six-Button Silent Wireless Computer Mice with 1200/1600/2400 Adjustable Portable USB Mouse for Desktop/Laptop/PC(Gold); price=15.99; brand=fhong; category=Electronics Computers & Accessories Computer Accessories & Peripherals Keyboards, Mice & Accessories Mice; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_191,multi_constraint,multi_constraint,预算不超过 30.31，想买 Amazon Basics 的厨房，关键词 Amazon Basics,product:P04346,,,,,product:P04346,true,supported,"product:P04346: title=Amazon Basics Quick-Dry Towels 100% Cotton - 8-Piece Set, Platinum; price=28.87; brand=Amazon Basics; category=Home & Kitchen Bath Towels Hand Towels; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
