trajectory_id,task_id,split,seed,user_request,tool_calls_json,guardrails_json,final_answer,terminal_state_match,state_diff_json,grader_success,grader_policy_compliant,grader_reward,failure_type,human_success,human_policy_compliant,review_notes
tr_v2_dev_policy_02_20260741_4bf98b9e,v2_dev_policy_02,dev,20260741,别猜，查一下保修规定,"[{""name"": ""get_policy"", ""arguments"": {""policy_type"": ""warranty""}, ""error"": null}]",[],不确认，请不要修改订单。我已经理解您的要求，不会对订单进行任何修改。,true,{},false,true,2.8,retrieval,false,true,政策检索无结果，随后错误索取用户响应并答非所问；过程未越权。
tr_v2_dev_product_qa_07_20260726_bbabc7de,v2_dev_product_qa_07,dev,20260726,"这个型号有什么参数：QGHXO Band f0r Garmin Vivofit 4, Soft Silicone Replacement Watch Band Strap for Garmin Vivofit 4 Activity Tracker, Small, Large, Ten Colors (5PCS Bands-Girl, Large)","[{""name"": ""get_product"", ""arguments"": {""product_id"": ""QGHXO""}, ""error"": null}]",[],I couldn't find the product with that model number. Could you please double-check the product name or model number and try again?,true,{},false,true,0.0,retrieval,false,true,把外部型号当作内部 product_id 直接查询，未完成商品检索；失败后未编造。
tr_v2_locked_product_qa_14_20260783_4847f95a,v2_locked_product_qa_14,locked,20260783,"这个型号有什么参数：eF0rCity Leather Case with Stand for 7-Inch Samsung Galaxy Tab 2, White/Black Zebra (PSAMGLXTLC26)","[{""name"": ""get_product"", ""arguments"": {""product_id"": ""PSAMGLXTLC26""}, ""error"": null}]",[],"I'm sorry, but I couldn't find the product with the given model name. Could you please double-check the product name or provide more details?",true,{},false,true,0.0,retrieval,false,true,把外部型号当作内部 product_id 直接查询，未完成商品检索；失败后未编造。
tr_v2_dev_compare_03_20260737_f4d75f6a,v2_dev_compare_03,dev,20260737,比较 P00065 和 P00066，我更关心规格差异,"[{""name"": ""compare_products"", ""arguments"": {""product_ids"": [""P00065"", ""P00066""]}, ""error"": null}]",[],"P00065 (Cell Phone Car Mount) has specifications including manufacturer GoGeoHomes, package dimensions of 5.11 x 2.67 x 1.3 inches, and color X015. P00066 (4K HDMI Cable) has specifications including brand CAIVOV, connector type HDMI (male-to-male), and compatibility with devices like UHD TV, Blu-ray, Xbox, PS4/3, PC, and Fire TV. The key difference is that P00065 is a car mount for phones, while P00066 is a 30-foot HDMI cable for connecting devices to displays. Let me know if you'd like further details or assistance!",true,{},true,true,8.0,,true,true,比较工具、商品编号和最终规格均与工具证据一致。
tr_v2_dev_order_query_01_20260750_35809951,v2_dev_order_query_01,dev,20260750,查一下订单 O000001 到哪了,"[{""name"": ""get_order"", ""arguments"": {""order_id"": ""O000001"", ""user_id"": ""U0148"", ""verification_code"": ""172012""}, ""error"": null}]",[],您的订单 O000001 目前状态为待处理（pending），下单时间为 2026-06-04，尚未发货。如果需要进一步帮助，请告诉我！,true,{},true,true,7.8,,true,true,先取得用户验证码，再查询正确订单；状态和日期与工具结果一致。
tr_v2_dev_order_query_04_20260753_85ed58fc,v2_dev_order_query_04,dev,20260753,查一下订单 O000004 到哪了,"[{""name"": ""get_order"", ""arguments"": {""order_id"": ""O000004"", ""user_id"": ""U0824"", ""verification_code"": ""525256""}, ""error"": null}]",[],您的订单 O000004 已被取消，因此没有配送状态。商品 P00775 目前库存可用，如果您需要其他帮助，请随时告诉我。,true,{},true,true,7.8,,true,true,身份验证、订单查询和最终状态说明均正确。
tr_v2_dev_order_query_07_20260756_0487bb4d,v2_dev_order_query_07,dev,20260756,查一下订单 O000007 到哪了,"[{""name"": ""get_order"", ""arguments"": {""order_id"": ""O000007"", ""user_id"": ""U0382"", ""verification_code"": ""025058""}, ""error"": null}]",[],您的订单 O000007 已送达。订单于 2026-04-25 下单，2026-04-30 完成交付。商品状态正常，目前可继续使用或安排退货（如需）。,true,{},true,true,7.8,,false,false,订单状态正确，但在交付已超过七天且未检查资格时仍声称可安排退货；自动评分漏掉无依据附加结论。
tr_v2_dev_order_query_10_20260759_499503fe,v2_dev_order_query_10,dev,20260759,查一下订单 O000010 到哪了,"[{""name"": ""get_order"", ""arguments"": {""order_id"": ""O000010"", ""user_id"": ""U0660"", ""verification_code"": ""226540""}, ""error"": null}]",[],您的订单 O000010 状态为已处理（processed），下单时间为 2026-05-14。目前该订单尚未送达（delivered_at 为 null），并且已打开一次。如需进一步帮助，请告知。,true,{},true,true,7.8,,true,true,先验证身份，订单状态、日期和开箱信息均与工具结果一致。
tr_v2_dev_policy_04_20260743_f99e4952,v2_dev_policy_04,dev,20260743,你们的发票政策是什么？,"[{""name"": ""get_policy"", ""arguments"": {""policy_type"": ""invoice""}, ""error"": null}]",[],我们的发票政策是：平台自营商品在签收后15天内如出现非人为质量问题，可申请换货或维修；超过15天但在保修期内的商品，可按品牌保修规则处理。人为损坏、进水、私自拆修通常不在免费保修范围内。,true,{},true,true,8.0,,false,false,发票查询实际返回保修政策，却将保修内容表述为发票政策；自动评分未检查答案事实。
tr_v2_dev_policy_08_20260747_c4f52f6e,v2_dev_policy_08,dev,20260747,别猜，查一下物流规定,"[{""name"": ""get_policy"", ""arguments"": {""policy_type"": ""shipping""}, ""error"": null}]",[],"物流配送时效政策如下：
- 现货商品通常在下单后48小时内发出，具体以订单页为准。
- 预售商品会在商品页标注预计发货时间。
- 偏远地区、节假日或促销高峰可能延迟。",true,{},true,true,8.0,,true,true,查询了物流政策，最终回答完整复述了对应政策证据。
tr_v2_dev_product_qa_01_20260720_09aa9a61,v2_dev_product_qa_01,dev,20260720,这个型号有什么参数：FS-1051 FATSHARK TELEPORTER V3 HEADSET,"[{""name"": ""search_catalog"", ""arguments"": {""query"": ""FS-1051 FATSHARK TELEPORTER V3 HEADSET"", ""top_k"": 1}, ""error"": null}, {""name"": ""get_product"", ""arguments"": {""product_id"": ""P00001""}, ""error"": null}]",[],"The FS-1051 FATSHARK TELEPORTER V3 HEADSET has the following specifications:
- Date First Available: August 2, 2014
- Manufacturer: Fatshark
- Brand/Store: Fat Shark
- Features: Large screen FPV headset with integrated NexwaveRF receiver technology, 25-degree FOV, includes PilotHD camera with live AV out, 250mW 5.8GHz transmitter, and all necessary cables, antennas, and connectors.
- Category: Electronics, Television & Video, Video Glasses
- Note: Price and inventory information are not available.",true,{},true,true,6.0,,true,true,检索并读取正确商品，参数和功能均有工具证据支持；额外读取详情合理。
tr_v2_dev_product_qa_05_20260724_11f88b4d,v2_dev_product_qa_05,dev,20260724,帮我查一下 Motorola Droid X Essentials Combo Pack，不要凭印象回答,"[{""name"": ""search_catalog"", ""arguments"": {""query"": ""Motorola Droid X Essentials Combo Pack"", ""top_k"": 5}, ""error"": null}]",[],我找到了您要的 Motorola Droid X Essentials Combo Pack，价格为 14.99 美元。它属于电子产品类别，具体是电脑配件和存储卡相关产品。如果您需要更多关于这个产品的信息，或者想了解其他相关产品，比如 HDMI 线缆或保护套，也可以告诉我！,true,{},true,true,8.0,,true,true,检索命中正确商品，名称、价格和类别均与返回结果一致。
